Category,name,price,link
electronics,HILL MOUNT ISI Mark Shock-Proof & Water-Proof HME09 Cop...,339,https://www.flipkart.com/hill-mount-isi-mark-shock-proof-water-proof-hme09-copper-2000-w-shock-proof-immersion-heater-rod/p/itm2a2aabe6b73dc?pid=IMMGJH3RKDSZEURK&lid=LSTIMMGJH3RKDSZEURKUTCP4O&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_3_107&otracker=search&fm=organic&iid=en_Fu1_N68JUd3eMgedOTB8uq1jsg31PkC55O72AEgo1ypgpZQ-dy9_qLlglbFxNurhNmI5VHi_t7CVq8h3axW5dg%3D%3D&ppt=None&ppn=None&ssid=sz1s27o6eo0000001767871240442&qH=9ca91fd2ee5f4b46
men,ChinuStyle Trimmer Men Hair Cutting Machine Haircut Cor...,398,https://www.flipkart.com/chinustyle-trimmer-men-hair-cutting-machine-haircut-cordless-clipper-fully-waterproof-60-min-runtime-5-length-settings/p/itm37c1512a29681?pid=TMRGZ3SZSGT5QAKS&lid=LSTTMRGZ3SZSGT5QAKSD6MFLP&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_3_108&otracker=search&fm=organic&iid=en_ICb4XDgtMo4ejXxyXPuYTAPLuBDRf5GAovepubGRlX0hdWn-dBtmNxzuibAtH2adYGkGacxrkQ5i5om6avqAkw%3D%3D&ppt=None&ppn=None&ssid=nbs5qr5vkw0000001767871251895&qH=d2fc17cc2feffa1d
men,NOVA NHT 1052 Trimmer 90 min  Runtime 40 Length Setting...,689,https://www.flipkart.com/nova-nht-1052-trimmer-90-min-runtime-40-length-settings/p/itmd164bdfeecb32?pid=TMRFZ9NQWGHEKQBS&lid=LSTTMRFZ9NQWGHEKQBSBZBZHT&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_2_54&otracker=search&fm=organic&iid=59598b54-5793-43eb-908b-7d70104457d4.TMRFZ9NQWGHEKQBS.SEARCH&ppt=None&ppn=None&ssid=m311qve9hs0000001767871250992&qH=d2fc17cc2feffa1d
electronics,Venus Electronic Digital Personal Bathroom Weight Machi...,589,https://www.flipkart.com/venus-electronic-digital-personal-bathroom-weight-machine-upto-180-kg-weighing-scale/p/itm3758fc7365a60?pid=WSLGNYFCCG78MVHY&lid=LSTWSLGNYFCCG78MVHYWJ9ZQF&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_14&otracker=search&fm=organic&iid=en_BwOB6ouEMmg24ZUIkL6B9PWQEMxY3FnJqey2bSrWIW9QraKdmz7tEOlfWZkMqPys_wVxxm4ZYe4u5uyawusFgQ%3D%3D&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Lifelong 1800 W Induction Cooktop Push Button,1299,https://www.flipkart.com/lifelong-1800-w-induction-cooktop-push-button/p/itmab5ec27fd1fbe?pid=ICTGZST8EEV66TZ4&lid=LSTICTGZST8EEV66TZ4CBDANA&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_15&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.ICTGZST8EEV66TZ4.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
men,VGR V-071 Professional Trimmer 120 min  Runtime 4 Lengt...,929,https://www.flipkart.com/vgr-v-071-professional-trimmer-120-min-runtime-4-length-settings/p/itm219d2f78dfcdd?pid=TMRFXEZGR2FTPCT3&lid=LSTTMRFXEZGR2FTPCT3K4ASC8&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_2_63&otracker=search&fm=organic&iid=59598b54-5793-43eb-908b-7d70104457d4.TMRFXEZGR2FTPCT3.SEARCH&ppt=None&ppn=None&ssid=m311qve9hs0000001767871250992&qH=d2fc17cc2feffa1d
electronics,texla 1 gm TO 10 kg electronic kitchen scale(white) Wei...,214,https://www.flipkart.com/texla-1-gm-10-kg-electronic-kitchen-scale-white-weighing-scale/p/itmfcnfygjvgzruq?pid=WSLFCN7MZVGJW3ZC&lid=LSTWSLFCN7MZVGJW3ZCQBAFEG&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_17&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLFCN7MZVGJW3ZC.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
men,NOVA NHT 1053 Trimmer 160 min  Runtime 40 Length Settin...,749,https://www.flipkart.com/nova-nht-1053-trimmer-160-min-runtime-40-length-settings/p/itmebaed9024f410?pid=TMRFUFBC3WE9AUQR&lid=LSTTMRFUFBC3WE9AUQR1UC26H&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_2_70&otracker=search&fm=organic&iid=59598b54-5793-43eb-908b-7d70104457d4.TMRFUFBC3WE9AUQR.SEARCH&ppt=None&ppn=None&ssid=m311qve9hs0000001767871250992&qH=d2fc17cc2feffa1d
electronics,"PHILIPS BT1233/18, Dura Power Tech, Skin Safe Trim Trim...",885,https://www.flipkart.com/philips-bt1233-18-dura-power-tech-skin-safe-trim-trimmer-30-min-runtime-4-length-settings/p/itma681efd0781c3?pid=TMRGZYEZEEEP5ZBB&lid=LSTTMRGZYEZEEEP5ZBBPV7ZUT&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_19&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.TMRGZYEZEEEP5ZBB.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Prestige 1200 W Induction Cooktop Push Button,1349,https://www.flipkart.com/prestige-1200-w-induction-cooktop-push-button/p/itm7e83d844b59ce?pid=ICTGZYFBX9AM5VFF&lid=LSTICTGZYFBX9AM5VFFUZU6WK&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_20&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.ICTGZYFBX9AM5VFF.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Orient Electric Fabripress DIFP10BP 1000 W Dry Iron,549,https://www.flipkart.com/orient-electric-fabripress-difp10bp-1000-w-dry-iron/p/itm55ace50975311?pid=IRNEVTESQWWGWZZG&lid=LSTIRNEVTESQWWGWZZGYOHQE2&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_21&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.IRNEVTESQWWGWZZG.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
men,One Plus OP 11 Cordless Professional Hair Trimmer Titan...,498,https://www.flipkart.com/one-plus-op-11-cordless-professional-hair-trimmer-titanium-coated-blade-waterproof-120-min-runtime-4-length-settings/p/itmd9f8e62b2ea38?pid=TMRH367GNJFTZYJ3&lid=LSTTMRH367GNJFTZYJ3FTDUAC&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_2_61&otracker=search&fm=organic&iid=59598b54-5793-43eb-908b-7d70104457d4.TMRH367GNJFTZYJ3.SEARCH&ppt=None&ppn=None&ssid=m311qve9hs0000001767871250992&qH=d2fc17cc2feffa1d
electronics,Pigeon 1800 W Induction Cooktop Push Button,1399,https://www.flipkart.com/pigeon-1800-w-induction-cooktop-push-button/p/itm3893130ae5422?pid=ICTDZZM3SKDMH5CK&lid=LSTICTDZZM3SKDMH5CKG5CZSW&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&spotlightTagId=default_BestsellerId_j9e&srno=s_1_23&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.ICTDZZM3SKDMH5CK.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,FADMAN MACHINE DIGITAL FOR WEIGHING HOUSEHOLD ITEMS Wei...,243,https://www.flipkart.com/fadman-machine-digital-weighing-household-items-scale/p/itme6cddee304227?pid=WSLFNNZYQ4JYKQHH&lid=LSTWSLFNNZYQ4JYKQHHGXLO59&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_24&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLFNNZYQ4JYKQHH.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Glancing 50Kg Portable Hanging Luggage Weight Machine D...,230,https://www.flipkart.com/glancing-50kg-portable-hanging-luggage-weight-machine-digital-weighing-household-items-i-e-waste-newspaper-gas-cylinder-disposal-etc-scale/p/itm07c3783d8a1f6?pid=WSLFY6N2FEXDYZH2&lid=LSTWSLFY6N2FEXDYZH22ZEGOG&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_26&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLFY6N2FEXDYZH2.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,SONALEX 10Kg Digital Kitchen Weight Scale Kata LCD Disp...,690,https://www.flipkart.com/sonalex-10kg-digital-kitchen-weight-scale-kata-lcd-display-vajan-machine-weighing/p/itm40d08a1814bf3?pid=WSLGQJGXX5BBHQAY&lid=LSTWSLGQJGXX5BBHQAYW1QYNC&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_27&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLGQJGXX5BBHQAY.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
